Seq	SIMBAD_ID	M	eM1	eM2	R	eR1	eR2	Teff	eTeff1	eTeff2	L	eL1	eL2	Meta	eMeta1	eMeta2	logg	elogg1	elogg2	rho	erho1	erho2	cutoff	class	type	pla	catalog	e_M	e_R	e_Teff	e_L	mode
1	47_Tuc-V69 A	0.876	0.005	0.005	1.316	0.005	0.005	5945	150	150	1.941	0.217	0.217	-0.71	0.1	0.1	4.143	0.003	0.003	NA	NA	NA	3.8971687	MS	G	NA	eker14	0.570776255707762	0.379939209726444	2.52312867956266	11.1798042246265	EB
2	47_Tuc-V69 B	0.859	0.006	0.006	1.163	0.006	0.006	5959	150	150	1.531	0.171	0.171	-0.71	0.1	0.1	4.242	0.003	0.003	NA	NA	NA	3.8879917	MS	G	NA	eker14	0.69848661233993	0.515907136715391	2.51720087262964	11.1691704768125	EB
3	AD_Boo A	1.414	0.009	0.009	1.614	0.014	0.014	6575	120	120	4.375	0.356	0.356	0.1	0.15	0.15	4.173	0.008	0.008	NA	NA	NA	3.4842037	MS	F	NA	eker14	0.636492220650636	0.867410161090458	1.82509505703422	8.13714285714286	EB
4	AD_Boo B	1.209	0.006	0.006	1.218	0.01	0.01	6145	120	120	1.901	0.164	0.164	0.1	0.15	0.15	4.351	0.007	0.007	NA	NA	NA	3.7660687	MS	F	NA	eker14	0.496277915632754	0.821018062397373	1.95280716029292	8.62703840084166	EB
5	AG_Ari A	2.164	0.07	0.07	2.232	0.023	0.023	10300	250	250	50.35	5.497	5.497	NA	NA	NA	4.075	0.023	0.023	NA	NA	NA	1.0424662	MS	B	NA	eker14	3.23475046210721	1.03046594982079	2.42718446601942	10.9175769612711	EB
6	AG_Ari B	2.148	0.07	0.07	2.074	0.022	0.022	9800	230	230	35.645	3.801	3.801	NA	NA	NA	4.137	0.023	0.023	NA	NA	NA	1.3702162	MS	A	NA	eker14	3.25884543761639	1.06075216972035	2.3469387755102	10.6634871651003	EB
7	AI_Hya A	1.974	0.04	0.04	2.764	0.02	0.02	7100	60	60	17.418	0.654	0.654	NA	NA	NA	3.85	0.004	0.004	NA	NA	NA	3.1400662	MS	F	NA	eker14	2.02634245187437	0.723589001447178	0.845070422535211	3.75473647950396	EB
8	AI_Hya B	2.14	0.04	0.04	3.912	0.03	0.03	6700	60	60	27.669	1.105	1.105	NA	NA	NA	3.58	0.004	0.004	NA	NA	NA	3.4022662	MS	F	NA	eker14	1.86915887850467	0.766871165644172	0.895522388059702	3.9936390906791	EB
9	AI_Phe A	1.234	0.004	0.004	2.932	0.048	0.048	5010	120	120	4.864	0.519	0.519	-0.14	0.1	0.1	3.595	0.014	0.014	NA	NA	NA	4.5100612	PMS	K	NA	torres10	0.324149108589951	1.63710777626194	2.39520958083832	10.6702302631579	EB
10	AI_Phe B	1.19	0.006	0.006	1.762	0.007	0.007	6310	147	147	4.365	0.421	0.421	-0.14	0.1	0.1	NA	NA	NA	NA	NA	NA	3.6579112	MS	F	NA	malkov07	0.504201680672269	0.39727582292849	2.32963549920761	9.64490263459336	EB
11	alf_Cen A	1.105	0.007	0.007	1.224	0.003	0.003	5824	26	26	1.549	0.029	0.029	0.24	0.04	0.04	4.306	0.004	0.004	NA	NA	NA	3.9764842	MS	G	NA	torres10	0.633484162895928	0.245098039215686	0.446428571428571	1.87217559715946	EB
12	alf_Cen B	0.934	0.006	0.006	0.863	0.005	0.005	5223	62	62	0.498	0.025	0.025	0.24	0.04	0.04	4.536	0.006	0.006	NA	NA	NA	4.3704397	MS	G	NA	torres10	0.642398286937901	0.579374275782155	1.18705724679303	5.02008032128514	EB
13	alf_CrB A	2.581	0.045	0.045	3.059	0.302	0.302	9700	200	200	74.302	20.322	20.322	NA	NA	NA	3.89	0.0860851675189244	0.0860851675189244	NA	NA	NA	1.4357662	MS	A	NA	eker14	1.74351026733824	9.87250735534488	2.06185567010309	27.3505423810934	EB
14	alf_CrB B	0.922	0.025	0.025	0.906	0.04	0.04	5800	300	300	0.834	0.243	0.243	NA	NA	NA	4.5	0.0401156250680685	0.0401156250680685	NA	NA	NA	3.9922162	MS	G	NA	eker14	2.7114967462039	4.41501103752759	5.17241379310345	29.136690647482	EB
15	AN_Cam A	1.4	0.14	0.14	2.3	0.23	0.23	5495	393	393	4.305	1.748	1.748	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.1921437	PMS	G	NA	malkov07	10	10	7.15195632393085	40.6039488966318	EB
16	AN_Cam B	1.4	0.14	0.14	1.7	0.17	0.17	6026	431	431	3.404	1.382	1.382	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.8440732	MS	F	NA	malkov07	10	10	7.15233986060405	40.599294947121	EB
17	AR_Aur A	2.48	0.098	0.098	1.781	0.036	0.036	10940	306	306	40.738	4.971	4.971	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.622946199999999	MS	B	NA	malkov07	3.95161290322581	2.02133632790567	2.79707495429616	12.2023663410084	EB
18	AR_Cas B	1.869	0.06	0.06	1.604	0.03	0.03	8150	200	200	10.186	1.19	1.19	NA	NA	NA	4.3	0.02	0.02	NA	NA	NA	2.4517912	MS	A	NA	eker14	3.21027287319422	1.87032418952618	2.45398773006135	11.6827017474966	EB
19	AS_Cam B	2.51	0.05	0.05	2	0.15	0.15	10023	352	352	36.308	8.361	8.361	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.2240397	MS	B	NA	malkov07	1.99203187250996	7.5	3.51192257807044	23.027982813705	EB
20	AY_Cam A	1.947	0.041	0.041	2.784	0.02	0.02	7250	100	100	19.231	1.14	1.14	NA	NA	NA	3.832	0.015	0.015	NA	NA	NA	3.0417412	MS	F	NA	eker14	2.10580380071905	0.718390804597701	1.37931034482759	5.92792886485362	EB
21	AY_Cam B	1.707	0.036	0.036	2.034	0.015	0.015	7395	100	100	11.117	0.659	0.659	NA	NA	NA	4.057	0.016	0.016	NA	NA	NA	2.9466937	MS	F	NA	eker14	2.10896309314587	0.737463126843658	1.35226504394861	5.92785823513538	EB
22	bet_Aur A	2.369	0.027	0.027	2.762	0.017	0.017	9350	200	200	52.36	4.92	4.92	NA	NA	NA	3.932	0.005	0.005	NA	NA	NA	1.6651912	MS	A	NA	eker14	1.1397214014352	0.615496017378711	2.13903743315508	9.3964858670741	EB
23	bet_Aur B	2.295	0.027	0.027	2.568	0.017	0.017	9200	200	200	42.462	4.097	4.097	NA	NA	NA	3.979	0.005	0.005	NA	NA	NA	1.7635162	MS	A	NA	eker14	1.17647058823529	0.661993769470405	2.17391304347826	9.64862700767745	EB
24	BG_Ind A	1.428	0.008	0.008	2.29	0.017	0.017	6353	270	270	7.907	1.621	1.621	-0.2	0.1	0.1	3.86505724276038	0.00689179380204216	0.00689179380204216	NA	NA	NA	3.6297247	MS	F	NA	eker14	0.560224089635854	0.74235807860262	4.24996064851251	20.5008220564057	EB
25	BG_Ind B	1.293	0.008	0.008	1.68	0.038	0.039	6653	233	233	5.117	0.881	0.881	-0.2	0.1	0.1	4.09097996142867	0.0198295561346882	0.020341925232502	NA	NA	NA	3.4330747	MS	F	NA	eker14	0.618716163959783	2.29166666666667	3.50217946790921	17.2171194059019	EB
26	BH_Vir A	1.166	0.008	0.008	1.247	0.024	0.024	6100	100	100	1.932	0.153	0.153	NA	NA	NA	4.313	0.017	0.017	NA	NA	NA	3.7955662	MS	F	NA	torres10	0.686106346483705	1.92461908580593	1.63934426229508	7.91925465838509	EB
27	BH_Vir B	1.05	0.015	0.015	1.118	0.04	0.04	5500	200	200	1.028	0.199	0.199	NA	NA	NA	4.35430569196913	0.0316897899866806	0.0316897899866806	NA	NA	NA	4.1888662	MS	G	NA	eker14	1.42857142857143	3.5778175313059	3.63636363636364	19.3579766536965	EB
28	BK_Peg A	1.43	0.02	0.02	1.97	0.07	0.07	6053	28	28	4.677	0.335	0.335	-0.12	0.07	0.07	NA	NA	NA	NA	NA	NA	3.8263747	MS	F	NA	malkov07	1.3986013986014	3.55329949238579	0.462580538575913	7.16271113961942	EB
29	BK_Peg B	1.28	0.01	0.01	1.57	0.11	0.11	6123	28	28	3.09	0.458	0.458	-0.12	0.07	0.07	NA	NA	NA	NA	NA	NA	3.7804897	MS	F	NA	malkov07	0.78125	7.00636942675159	0.4572921770374	14.8220064724919	EB
30	BP_Vul A	1.737	0.015	0.015	1.853	0.014	0.014	7709	150	150	10.889	0.941	0.941	NA	NA	NA	4.142	0.007	0.007	NA	NA	NA	2.7408667	MS	A	NA	eker14	0.863557858376511	0.755531570426336	1.94577766247243	8.64174855358619	EB
31	BP_Vul B	1.408	0.009	0.009	1.489	0.014	0.014	6823	150	150	4.315	0.427	0.427	NA	NA	NA	4.24	0.008	0.008	NA	NA	NA	3.3216397	MS	F	NA	eker14	0.639204545454545	0.940228341168569	2.19844643118863	9.89571263035921	EB
32	BS_Dra A	1.363	0.054	0.054	1.508	0.043	0.043	6699	479	479	4.256	0.089	0.089	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.4029217	MS	F	NA	malkov07	3.96184886280264	2.85145888594164	7.15032094342439	2.09116541353383	EB
33	BS_Dra B	1.361	0.054	0.054	1.434	0.044	0.044	6668	15	15	3.784	0.088	0.088	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.4232422	MS	F	NA	malkov07	3.96767083027186	3.06834030683403	0.2249550089982	2.32558139534884	EB
34	BW_Aqr A	1.479	0.02	0.02	2.057	0.04	0.04	6350	100	100	6.18	0.488	0.488	-0.07	0.11	0.11	3.981	0.019	0.019	NA	NA	NA	3.6316912	MS	F	NA	eker14	1.35226504394861	1.94457948468644	1.5748031496063	7.89644012944984	EB
35	BW_Aqr B	1.377	0.02	0.02	1.788	0.04	0.04	6450	100	100	4.966	0.417	0.417	-0.07	0.11	0.11	4.075	0.022	0.022	NA	NA	NA	3.5661412	MS	F	NA	eker14	1.45243282498184	2.23713646532438	1.55038759689922	8.39710028191703	EB
36	CD_Tau A	1.441	0.016	0.016	1.798	0.017	0.017	6200	50	50	4.285	0.171	0.171	0.08	0.15	0.15	4.087	0.01	0.01	NA	NA	NA	3.7300162	MS	F	NA	eker14	1.11034004163775	0.945494994438265	0.806451612903226	3.99066511085181	EB
37	CD_Tau B	1.366	0.016	0.016	1.584	0.02	0.02	6200	50	50	3.327	0.141	0.141	0.08	0.15	0.15	4.174	0.012	0.012	NA	NA	NA	3.7300162	MS	F	NA	eker14	1.17130307467057	1.26262626262626	0.806451612903226	4.2380522993688	EB
38	CF_Tau A	1.282	0.009	0.009	2.797	0.011	0.011	5200	150	150	5.14	0.667	0.667	NA	NA	NA	3.653	0.005	0.005	NA	NA	NA	4.3855162	PMS	G	NA	eker14	0.702028081123245	0.39327851269217	2.88461538461538	12.9766536964981	EB
39	CF_Tau B	1.252	0.011	0.011	2.048	0.016	0.016	6000	150	150	4.875	0.545	0.545	NA	NA	NA	3.913	0.008	0.008	NA	NA	NA	3.8611162	MS	F	NA	eker14	0.878594249201278	0.78125	2.5	11.1794871794872	EB
40	CG_Cyg A	0.948	0.012	0.012	0.896	0.013	0.013	5260	185	185	0.552	0.092	0.092	NA	NA	NA	4.512	0.014	0.014	NA	NA	NA	4.3461862	MS	G	NA	eker14	1.26582278481013	1.45089285714286	3.5171102661597	16.6666666666667	EB
41	CG_Cyg B	0.821	0.013	0.013	0.846	0.014	0.014	4720	66	66	0.319	0.022	0.022	NA	NA	NA	4.505	0.016	0.016	NA	NA	NA	4.7001562	PMS	K	NA	eker14	1.58343483556638	1.6548463356974	1.39830508474576	6.89655172413793	EB
42	chi02_Hya B	2.638	0.05	0.05	2.165	0.043	0.043	10990	256	256	61.66	5.949	30.509	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.590171199999999	MS	B	NA	malkov07	1.89537528430629	1.98614318706697	2.32939035486806	29.5637366201752	EB
